result_id,exam_id,student_id,marks_obtained,grade,pass_fail
98,1,454,56.21,D,Pass
99,1,411,60.26,C,Pass
100,1,273,26.8,F,Fail
101,1,184,98.4,A+,Pass
102,1,118,38.53,F,Fail
103,1,317,53.41,D,Pass
104,1,173,95.97,A+,Pass
105,1,132,76.8,B,Pass
106,1,231,94.76,A+,Pass
107,1,342,37.33,F,Fail
108,1,100,35.64,F,Fail
109,1,452,40.06,D,Pass
110,1,374,89.67,A,Pass
111,1,335,44.93,D,Pass
112,1,130,60.94,C,Pass
113,1,345,48.71,D,Pass
114,1,376,94.99,A+,Pass
115,1,242,27.76,F,Fail
116,1,390,22.9,F,Fail
117,1,133,83.83,A,Pass
118,1,406,66.52,C,Pass
119,1,111,35.07,F,Fail
120,1,126,98.07,A+,Pass
121,1,49,98.52,A+,Pass
122,1,283,21.87,F,Fail
123,1,328,96.63,A+,Pass
124,1,413,62.11,C,Pass
125,1,420,53.67,D,Pass
126,1,333,36.62,F,Fail
127,1,236,28.78,F,Fail
128,1,362,47.33,D,Pass
129,1,286,24.25,F,Fail
130,1,241,45.81,D,Pass
131,1,162,69.85,C,Pass
132,1,313,49.22,D,Pass
133,1,83,61.06,C,Pass
134,1,457,71.8,B,Pass
135,1,205,66.62,C,Pass
136,1,485,20.89,F,Fail
137,1,222,29.87,F,Fail
138,1,161,45.6,D,Pass
139,1,253,53.4,D,Pass
140,1,353,55.81,D,Pass
141,1,297,84.54,A,Pass
142,1,67,59.16,D,Pass
143,1,489,55.53,D,Pass
144,2,74,25.23,F,Fail
145,2,22,98.85,A+,Pass
146,2,467,99.75,A+,Pass
147,2,497,75.86,B,Pass
148,2,418,30.06,F,Fail
149,2,464,54.24,D,Pass
150,2,424,55.96,D,Pass
151,2,130,27.79,F,Fail
152,2,287,23.77,F,Fail
153,2,399,49.83,D,Pass
154,2,386,53.05,D,Pass
155,2,302,60.57,C,Pass
156,2,381,66.73,C,Pass
157,2,99,22.05,F,Fail
158,2,41,29.14,F,Fail
159,2,97,22.29,F,Fail
160,2,71,74.83,B,Pass
161,2,11,94.4,A+,Pass
162,2,229,23.69,F,Fail
163,2,68,85.42,A,Pass
164,2,152,49.2,D,Pass
165,2,490,48.88,D,Pass
166,2,330,90.94,A+,Pass
167,2,451,33.92,F,Fail
168,2,124,72.5,B,Pass
169,2,186,87.1,A,Pass
170,2,479,72.89,B,Pass
171,2,362,55.97,D,Pass
172,2,282,24.14,F,Fail
173,2,323,68.64,C,Pass
174,2,484,50.82,D,Pass
175,2,12,52.82,D,Pass
176,2,457,43.01,D,Pass
177,2,49,61.82,C,Pass
178,2,491,25.81,F,Fail
179,2,376,40.92,D,Pass
180,2,327,75.14,B,Pass
181,2,95,34.41,F,Fail
182,2,153,50.87,D,Pass
183,2,350,76.36,B,Pass
184,2,388,95.19,A+,Pass
185,2,401,56.29,D,Pass
186,2,442,92.92,A+,Pass
187,2,488,84.1,A,Pass
188,2,26,46.91,D,Pass
189,2,39,55.66,D,Pass
190,2,43,36.23,F,Fail
191,2,434,74.08,B,Pass
192,2,42,92.43,A+,Pass
193,2,112,44.98,D,Pass
194,2,329,90.46,A+,Pass
195,2,498,81.13,A,Pass
196,2,140,37.74,F,Fail
197,2,223,53.31,D,Pass
198,2,358,58.03,D,Pass
199,2,217,89.34,A,Pass
200,2,462,36.67,F,Fail
201,2,173,22.9,F,Fail
202,2,98,72.3,B,Pass
203,2,377,77.16,B,Pass
204,2,344,70.79,B,Pass
205,2,472,50.29,D,Pass
206,2,368,53.51,D,Pass
207,2,333,52.24,D,Pass
208,2,369,84.19,A,Pass
209,2,370,37.93,F,Fail
210,2,144,36.83,F,Fail
211,2,499,56.12,D,Pass
212,2,170,60.66,C,Pass
213,2,35,63.05,C,Pass
214,2,311,65.93,C,Pass
215,2,133,32.29,F,Fail
216,2,208,32.41,F,Fail
217,2,375,77.5,B,Pass
218,2,181,76.27,B,Pass
219,2,468,71.38,B,Pass
220,2,15,44.9,D,Pass
221,2,127,87.63,A,Pass
222,2,57,72.11,B,Pass
223,2,31,73.23,B,Pass
224,2,393,85.2,A,Pass
225,2,403,32.1,F,Fail
226,2,214,74.35,B,Pass
227,2,207,77.33,B,Pass
228,2,194,58.01,D,Pass
229,2,266,23.9,F,Fail
230,2,439,23.45,F,Fail
231,2,259,51.89,D,Pass
232,2,158,72.65,B,Pass
233,2,212,82.94,A,Pass
234,2,413,20.17,F,Fail
235,2,334,22.01,F,Fail
236,2,114,93.11,A+,Pass
237,2,396,69.2,C,Pass
238,2,307,54.16,D,Pass
239,2,303,81.25,A,Pass
240,2,272,60.67,C,Pass
241,2,320,49.79,D,Pass
242,2,355,29.81,F,Fail
243,2,335,28.74,F,Fail
244,2,398,68.1,C,Pass
245,2,465,55.44,D,Pass
246,2,412,99.24,A+,Pass
247,2,248,28.35,F,Fail
248,2,326,91.57,A+,Pass
249,2,309,29.54,F,Fail
250,2,278,87.71,A,Pass
251,2,163,20.11,F,Fail
252,2,224,22.56,F,Fail
253,2,444,80.69,A,Pass
254,2,280,45.88,D,Pass
255,2,446,59.17,D,Pass
256,2,180,30.8,F,Fail
257,2,13,95.87,A+,Pass
258,2,476,65.05,C,Pass
259,2,277,88.55,A,Pass
260,2,419,48.3,D,Pass
261,2,50,90.6,A+,Pass
262,2,450,91.57,A+,Pass
263,2,83,37.29,F,Fail
264,2,165,52.28,D,Pass
265,2,292,47.31,D,Pass
266,2,409,87.37,A,Pass
267,2,79,55.8,D,Pass
268,2,384,72.44,B,Pass
269,2,232,49.49,D,Pass
270,2,313,90.71,A+,Pass
271,2,430,20.9,F,Fail
272,2,86,71.07,B,Pass
273,2,474,63.33,C,Pass
274,2,473,59.71,D,Pass
275,2,19,25.47,F,Fail
276,3,228,74.6,B,Pass
277,3,229,91.86,A+,Pass
278,3,13,91.54,A+,Pass
279,3,345,83.26,A,Pass
280,3,171,68.71,C,Pass
281,3,65,83.91,A,Pass
282,3,73,84.17,A,Pass
283,3,346,64.4,C,Pass
284,3,221,51.15,D,Pass
285,3,162,52.55,D,Pass
286,3,127,42.79,D,Pass
287,3,59,97.48,A+,Pass
288,3,183,71.05,B,Pass
289,3,313,84.77,A,Pass
290,3,370,78.39,B,Pass
291,3,192,39.78,F,Fail
292,3,188,91.11,A+,Pass
293,3,155,24.14,F,Fail
294,3,219,84.11,A,Pass
295,3,331,71.54,B,Pass
296,3,374,21.82,F,Fail
297,3,456,88.08,A,Pass
298,3,18,70.55,B,Pass
299,3,216,92.74,A+,Pass
300,3,282,35.91,F,Fail
301,3,475,77.44,B,Pass
302,3,177,78.9,B,Pass
303,3,492,66.33,C,Pass
304,3,318,46.8,D,Pass
305,3,279,38.52,F,Fail
306,3,473,22.9,F,Fail
307,3,55,46.81,D,Pass
308,3,109,42.86,D,Pass
309,3,408,75.47,B,Pass
310,3,253,70.91,B,Pass
311,3,386,30.73,F,Fail
312,3,291,89.35,A,Pass
313,3,498,24.49,F,Fail
314,3,392,94.5,A+,Pass
315,3,259,21.06,F,Fail
316,3,57,55.25,D,Pass
317,3,430,34.62,F,Fail
318,3,46,31.43,F,Fail
319,3,34,74.06,B,Pass
320,3,142,89.61,A,Pass
321,3,264,74.96,B,Pass
322,3,439,77.83,B,Pass
323,3,422,69.05,C,Pass
324,3,100,95.68,A+,Pass
325,3,64,92.92,A+,Pass
326,3,149,37.16,F,Fail
327,3,154,41.88,D,Pass
328,3,106,49.43,D,Pass
329,3,61,30.88,F,Fail
330,3,317,78.62,B,Pass
331,3,202,48.42,D,Pass
332,3,359,44.58,D,Pass
333,3,380,88.35,A,Pass
334,3,319,60.8,C,Pass
335,3,294,92.53,A+,Pass
336,3,304,23.38,F,Fail
337,3,236,63.12,C,Pass
338,3,320,96.77,A+,Pass
339,3,239,68.67,C,Pass
340,3,63,46.75,D,Pass
341,3,172,34.79,F,Fail
342,3,287,63.25,C,Pass
343,3,74,90.55,A+,Pass
344,3,417,49.89,D,Pass
345,3,22,44.98,D,Pass
346,3,438,29.45,F,Fail
347,3,366,23.23,F,Fail
348,3,11,83.02,A,Pass
349,3,298,96.37,A+,Pass
350,3,342,37.64,F,Fail
351,3,310,71.77,B,Pass
352,3,258,61.25,C,Pass
353,3,333,73.06,B,Pass
354,3,186,81.72,A,Pass
355,3,351,54.61,D,Pass
356,3,215,31.75,F,Fail
357,3,301,71.65,B,Pass
358,3,37,28.82,F,Fail
359,3,429,22.61,F,Fail
360,3,114,92.33,A+,Pass
361,3,364,60.81,C,Pass
362,3,436,60.71,C,Pass
363,3,474,30.87,F,Fail
364,3,16,52.03,D,Pass
365,3,38,94.14,A+,Pass
366,3,56,61.92,C,Pass
367,3,354,67.44,C,Pass
368,3,255,94.91,A+,Pass
369,3,312,56.88,D,Pass
370,3,497,84.01,A,Pass
371,3,322,95.99,A+,Pass
372,3,66,42.86,D,Pass
373,3,26,86.49,A,Pass
374,3,271,44.9,D,Pass
375,3,299,37.07,F,Fail
376,3,129,79.83,B,Pass
377,3,406,91.81,A+,Pass
378,3,496,66.66,C,Pass
379,3,377,35.23,F,Fail
380,3,362,62.19,C,Pass
381,3,30,88.32,A,Pass
382,3,495,46.59,D,Pass
383,3,164,93.35,A+,Pass
384,3,412,38.44,F,Fail
385,3,421,47.05,D,Pass
386,3,390,42.27,D,Pass
387,3,358,99.07,A+,Pass
388,3,260,55.67,D,Pass
389,3,381,70.5,B,Pass
390,3,332,96.93,A+,Pass
391,3,343,62.32,C,Pass
392,3,326,98.77,A+,Pass
393,3,466,54.59,D,Pass
394,3,36,87.95,A,Pass
395,3,169,34.64,F,Fail
396,3,102,82.13,A,Pass
397,3,246,29.64,F,Fail
398,3,266,51.26,D,Pass
399,3,323,49.75,D,Pass
400,3,388,98.74,A+,Pass
401,3,225,74.36,B,Pass
402,3,158,86.63,A,Pass
403,3,174,23.32,F,Fail
404,3,107,58.15,D,Pass
405,3,355,97.1,A+,Pass
406,3,289,71.79,B,Pass
407,4,366,65.03,C,Pass
408,4,464,76.15,B,Pass
409,4,315,87.97,A,Pass
410,4,438,70.55,B,Pass
411,4,466,98.99,A+,Pass
412,4,368,39.0,F,Fail
413,4,91,83.57,A,Pass
414,4,260,40.77,D,Pass
415,4,283,72.82,B,Pass
416,4,16,89.77,A,Pass
417,4,267,66.56,C,Pass
418,4,196,22.39,F,Fail
419,4,450,24.09,F,Fail
420,4,327,22.42,F,Fail
421,4,162,28.78,F,Fail
422,4,401,75.01,B,Pass
423,4,355,82.18,A,Pass
424,4,6,78.19,B,Pass
425,4,347,44.07,D,Pass
426,4,270,96.41,A+,Pass
427,4,154,46.09,D,Pass
428,4,406,26.57,F,Fail
429,4,399,48.43,D,Pass
430,4,255,45.37,D,Pass
431,4,56,62.52,C,Pass
432,4,469,90.01,A+,Pass
433,4,357,96.66,A+,Pass
434,4,441,66.89,C,Pass
435,4,67,92.37,A+,Pass
436,4,193,66.93,C,Pass
437,4,236,87.25,A,Pass
438,4,195,77.89,B,Pass
439,4,68,28.61,F,Fail
440,4,166,22.55,F,Fail
441,4,127,73.77,B,Pass
442,4,392,47.98,D,Pass
443,4,423,76.16,B,Pass
444,4,62,67.24,C,Pass
445,4,412,94.24,A+,Pass
446,4,50,47.8,D,Pass
447,4,174,43.34,D,Pass
448,4,335,45.38,D,Pass
449,4,324,99.53,A+,Pass
450,4,434,68.72,C,Pass
451,4,420,50.22,D,Pass
452,4,216,88.13,A,Pass
453,4,248,33.21,F,Fail
454,4,14,56.07,D,Pass
455,4,422,61.05,C,Pass
456,4,167,77.96,B,Pass
457,4,244,78.79,B,Pass
458,4,275,49.45,D,Pass
459,4,468,85.51,A,Pass
460,4,314,48.29,D,Pass
461,4,3,48.02,D,Pass
462,4,210,41.02,D,Pass
463,4,245,44.8,D,Pass
464,4,378,29.12,F,Fail
465,4,336,95.18,A+,Pass
466,4,486,91.13,A+,Pass
467,4,465,37.38,F,Fail
468,4,282,35.56,F,Fail
469,4,329,22.86,F,Fail
470,4,139,63.02,C,Pass
471,4,105,24.81,F,Fail
472,4,187,24.91,F,Fail
473,4,95,38.51,F,Fail
474,4,129,63.29,C,Pass
475,4,313,83.08,A,Pass
476,4,238,39.54,F,Fail
477,4,278,33.5,F,Fail
478,4,427,62.6,C,Pass
479,4,211,79.99,B,Pass
480,4,396,26.26,F,Fail
481,4,59,40.12,D,Pass
482,4,126,60.15,C,Pass
483,4,449,65.73,C,Pass
484,4,249,25.76,F,Fail
485,4,493,58.92,D,Pass
486,4,122,24.64,F,Fail
487,4,385,65.5,C,Pass
488,4,462,98.2,A+,Pass
489,4,263,96.27,A+,Pass
490,4,320,29.39,F,Fail
491,4,48,39.21,F,Fail
492,4,45,40.64,D,Pass
493,4,451,69.86,C,Pass
494,4,433,22.47,F,Fail
495,4,364,55.06,D,Pass
496,4,430,55.28,D,Pass
497,4,490,67.89,C,Pass
498,4,277,90.74,A+,Pass
499,4,64,75.15,B,Pass
500,4,208,92.0,A+,Pass
501,4,213,33.4,F,Fail
502,4,495,59.77,D,Pass
503,4,306,92.36,A+,Pass
504,4,337,27.13,F,Fail
505,4,7,82.13,A,Pass
506,4,128,30.03,F,Fail
507,4,380,25.79,F,Fail
508,4,292,66.85,C,Pass
509,4,12,59.06,D,Pass
510,4,133,68.89,C,Pass
511,4,88,33.26,F,Fail
512,4,153,58.23,D,Pass
513,4,382,29.69,F,Fail
514,4,287,95.92,A+,Pass
515,4,397,78.62,B,Pass
516,4,489,51.19,D,Pass
517,4,266,40.42,D,Pass
518,4,111,37.69,F,Fail
519,4,471,23.33,F,Fail
520,4,291,34.11,F,Fail
521,4,446,43.56,D,Pass
522,4,215,98.26,A+,Pass
523,4,230,28.15,F,Fail
524,4,19,35.41,F,Fail
525,4,326,43.08,D,Pass
526,4,132,30.41,F,Fail
527,4,443,55.77,D,Pass
528,4,83,49.97,D,Pass
529,4,299,56.34,D,Pass
530,4,155,68.86,C,Pass
531,5,40,88.99,A,Pass
532,5,200,64.92,C,Pass
533,5,182,79.96,B,Pass
534,5,31,38.04,F,Fail
535,5,116,64.6,C,Pass
536,5,69,82.73,A,Pass
537,5,71,74.41,B,Pass
538,5,231,68.46,C,Pass
539,5,126,83.02,A,Pass
540,5,405,79.81,B,Pass
541,5,207,43.02,D,Pass
542,5,420,32.77,F,Fail
543,5,237,45.75,D,Pass
544,5,488,54.31,D,Pass
545,5,241,44.74,D,Pass
546,5,151,91.18,A+,Pass
547,5,308,97.8,A+,Pass
548,5,449,43.81,D,Pass
549,5,378,62.5,C,Pass
550,5,246,41.18,D,Pass
551,5,2,99.9,A+,Pass
552,5,459,26.84,F,Fail
553,5,362,44.06,D,Pass
554,5,391,21.75,F,Fail
555,5,399,69.84,C,Pass
556,5,52,35.25,F,Fail
557,5,442,54.85,D,Pass
558,5,47,20.97,F,Fail
559,5,158,85.59,A,Pass
560,5,321,87.28,A,Pass
561,5,453,63.41,C,Pass
562,5,497,55.07,D,Pass
563,5,416,86.55,A,Pass
564,5,417,85.31,A,Pass
565,5,275,45.38,D,Pass
566,5,209,69.81,C,Pass
567,5,155,32.54,F,Fail
568,5,141,20.74,F,Fail
569,5,80,20.87,F,Fail
570,5,227,59.54,D,Pass
571,5,431,24.05,F,Fail
572,5,282,45.76,D,Pass
573,5,428,38.54,F,Fail
574,5,117,67.08,C,Pass
575,5,348,94.03,A+,Pass
576,5,41,93.15,A+,Pass
577,5,451,49.98,D,Pass
578,5,500,69.01,C,Pass
579,5,225,75.99,B,Pass
580,5,317,21.72,F,Fail
581,5,310,82.41,A,Pass
582,5,4,77.4,B,Pass
583,5,162,64.85,C,Pass
584,5,277,89.96,A,Pass
585,5,136,53.97,D,Pass
586,5,409,23.77,F,Fail
587,5,11,62.68,C,Pass
588,5,303,41.61,D,Pass
589,5,79,96.8,A+,Pass
590,5,157,54.16,D,Pass
591,5,121,81.5,A,Pass
592,5,12,45.17,D,Pass
593,5,39,69.29,C,Pass
594,5,325,21.49,F,Fail
595,5,280,51.51,D,Pass
596,5,393,88.27,A,Pass
597,5,57,48.99,D,Pass
598,5,191,89.93,A,Pass
599,5,380,93.61,A+,Pass
600,5,70,97.29,A+,Pass
601,5,490,28.34,F,Fail
602,5,125,80.96,A,Pass
603,5,186,86.69,A,Pass
604,5,467,97.34,A+,Pass
605,5,221,46.3,D,Pass
606,5,245,39.5,F,Fail
607,5,373,78.08,B,Pass
608,5,81,51.39,D,Pass
609,5,468,45.88,D,Pass
610,5,354,76.61,B,Pass
611,5,407,97.73,A+,Pass
612,5,86,32.0,F,Fail
613,5,404,41.45,D,Pass
614,5,131,59.12,D,Pass
615,5,199,48.17,D,Pass
616,5,370,97.71,A+,Pass
617,5,51,97.47,A+,Pass
618,5,133,66.2,C,Pass
619,5,323,95.73,A+,Pass
620,5,75,31.6,F,Fail
621,5,181,35.1,F,Fail
622,5,66,53.61,D,Pass
623,5,259,79.69,B,Pass
624,5,400,77.98,B,Pass
625,5,15,34.3,F,Fail
626,5,341,66.86,C,Pass
627,5,388,33.79,F,Fail
628,5,84,46.04,D,Pass
629,5,187,95.66,A+,Pass
630,5,222,27.09,F,Fail
631,5,250,28.74,F,Fail
632,5,10,26.4,F,Fail
633,5,471,94.26,A+,Pass
634,5,491,47.53,D,Pass
635,5,495,34.23,F,Fail
636,5,36,61.0,C,Pass
637,5,53,25.24,F,Fail
638,5,265,70.92,B,Pass
639,5,311,75.68,B,Pass
640,5,260,75.08,B,Pass
641,5,328,42.48,D,Pass
642,5,381,33.69,F,Fail
643,5,412,38.21,F,Fail
644,5,114,69.68,C,Pass
645,5,338,95.36,A+,Pass
646,5,203,74.32,B,Pass
647,5,7,26.55,F,Fail
648,5,339,68.04,C,Pass
649,5,435,56.02,D,Pass
650,5,100,22.3,F,Fail
651,5,448,30.38,F,Fail
652,5,215,28.1,F,Fail
653,5,170,84.98,A,Pass
654,5,174,26.47,F,Fail
655,5,83,42.05,D,Pass
656,5,477,46.38,D,Pass
657,5,132,42.05,D,Pass
658,5,35,40.65,D,Pass
659,5,350,82.18,A,Pass
660,5,6,51.55,D,Pass
661,5,164,30.68,F,Fail
662,5,205,75.49,B,Pass
663,5,103,99.6,A+,Pass
664,5,192,36.21,F,Fail
665,5,148,58.05,D,Pass
666,5,314,39.98,F,Fail
667,5,213,82.57,A,Pass
668,5,108,40.33,D,Pass
669,5,27,38.29,F,Fail
670,5,327,75.73,B,Pass
671,5,193,76.99,B,Pass
672,5,397,49.0,D,Pass
673,5,253,85.18,A,Pass
674,5,243,49.42,D,Pass
675,5,229,85.22,A,Pass
676,5,33,36.88,F,Fail
677,5,379,44.57,D,Pass
678,5,466,38.33,F,Fail
679,5,266,83.45,A,Pass
680,6,408,93.98,A+,Pass
681,6,15,24.22,F,Fail
682,6,306,51.92,D,Pass
683,6,348,80.53,A,Pass
684,6,250,39.5,F,Fail
685,6,329,72.48,B,Pass
686,6,303,95.7,A+,Pass
687,6,40,29.17,F,Fail
688,6,423,54.66,D,Pass
689,6,32,62.28,C,Pass
690,6,279,84.58,A,Pass
691,6,259,72.96,B,Pass
692,6,444,50.82,D,Pass
693,6,328,36.17,F,Fail
694,6,282,21.19,F,Fail
695,6,239,52.83,D,Pass
696,6,160,81.6,A,Pass
697,6,451,77.69,B,Pass
698,6,179,69.26,C,Pass
699,6,158,72.75,B,Pass
700,6,252,29.18,F,Fail
701,6,434,21.28,F,Fail
702,6,296,36.65,F,Fail
703,6,204,48.79,D,Pass
704,6,216,96.0,A+,Pass
705,6,464,67.68,C,Pass
706,6,8,24.56,F,Fail
707,6,266,32.18,F,Fail
708,6,275,51.03,D,Pass
709,6,183,40.26,D,Pass
710,6,471,67.79,C,Pass
711,6,81,22.42,F,Fail
712,6,213,65.86,C,Pass
713,6,467,69.67,C,Pass
714,6,420,91.86,A+,Pass
715,6,38,93.91,A+,Pass
716,6,324,97.69,A+,Pass
717,6,23,45.13,D,Pass
718,6,309,57.05,D,Pass
719,6,114,76.36,B,Pass
720,6,327,89.93,A,Pass
721,6,419,46.88,D,Pass
722,6,136,74.82,B,Pass
723,6,350,68.76,C,Pass
724,6,124,79.12,B,Pass
725,6,35,31.37,F,Fail
726,6,120,62.94,C,Pass
727,6,182,65.77,C,Pass
728,6,318,61.56,C,Pass
729,6,376,97.41,A+,Pass
730,6,44,85.45,A,Pass
731,6,122,67.52,C,Pass
732,6,267,34.4,F,Fail
733,6,394,69.24,C,Pass
734,6,193,76.03,B,Pass
735,6,1,23.29,F,Fail
736,6,367,30.63,F,Fail
737,6,280,87.16,A,Pass
738,6,212,25.41,F,Fail
739,6,463,51.16,D,Pass
740,6,103,96.82,A+,Pass
741,6,263,82.21,A,Pass
742,6,425,67.18,C,Pass
743,6,10,87.43,A,Pass
744,6,57,44.37,D,Pass
745,6,68,31.93,F,Fail
746,6,333,31.34,F,Fail
747,6,174,79.41,B,Pass
748,6,128,70.23,B,Pass
749,6,119,68.94,C,Pass
750,6,317,30.67,F,Fail
751,6,398,65.94,C,Pass
752,6,354,87.06,A,Pass
753,6,491,50.25,D,Pass
754,6,197,23.48,F,Fail
755,6,417,30.15,F,Fail
756,6,75,63.32,C,Pass
757,6,248,47.64,D,Pass
758,6,209,60.1,C,Pass
759,6,442,66.41,C,Pass
760,6,49,95.29,A+,Pass
761,6,465,63.08,C,Pass
762,6,368,82.55,A,Pass
763,6,113,85.38,A,Pass
764,6,346,91.39,A+,Pass
765,6,180,72.95,B,Pass
766,6,439,83.65,A,Pass
767,6,378,65.17,C,Pass
768,6,69,85.06,A,Pass
769,6,42,35.83,F,Fail
770,6,483,57.37,D,Pass
771,6,332,70.24,B,Pass
772,6,166,34.3,F,Fail
773,6,406,44.42,D,Pass
774,6,43,41.33,D,Pass
775,6,290,46.13,D,Pass
776,6,100,33.56,F,Fail
777,6,34,88.64,A,Pass
778,6,339,66.01,C,Pass
779,6,82,70.73,B,Pass
780,6,484,36.05,F,Fail
781,6,432,84.49,A,Pass
782,6,340,67.83,C,Pass
783,6,143,50.01,D,Pass
784,6,268,33.75,F,Fail
785,6,312,73.74,B,Pass
786,6,474,38.79,F,Fail
787,6,366,45.09,D,Pass
788,6,190,69.67,C,Pass
789,6,125,20.25,F,Fail
790,6,221,35.21,F,Fail
791,6,409,80.0,A,Pass
792,6,384,97.94,A+,Pass
793,6,452,89.72,A,Pass
794,6,438,54.44,D,Pass
795,6,254,39.61,F,Fail
796,6,16,34.53,F,Fail
797,6,276,21.45,F,Fail
798,6,299,80.57,A,Pass
799,7,197,49.79,D,Pass
800,7,96,81.17,A,Pass
801,7,320,56.21,D,Pass
802,7,25,58.71,D,Pass
803,7,435,68.4,C,Pass
804,7,339,80.78,A,Pass
805,7,55,41.32,D,Pass
806,7,176,87.26,A,Pass
807,7,23,67.37,C,Pass
808,7,432,40.7,D,Pass
809,7,218,99.6,A+,Pass
810,7,290,44.3,D,Pass
811,7,152,67.71,C,Pass
812,7,82,28.56,F,Fail
813,7,236,76.35,B,Pass
814,7,232,88.77,A,Pass
815,7,28,75.45,B,Pass
816,7,375,80.64,A,Pass
817,7,231,99.27,A+,Pass
818,7,383,29.7,F,Fail
819,7,81,48.65,D,Pass
820,7,108,82.01,A,Pass
821,7,385,56.1,D,Pass
822,7,481,52.11,D,Pass
823,7,489,44.12,D,Pass
824,7,355,74.85,B,Pass
825,7,442,77.98,B,Pass
826,7,390,31.17,F,Fail
827,7,239,80.63,A,Pass
828,7,106,62.43,C,Pass
829,7,316,29.66,F,Fail
830,7,220,21.67,F,Fail
831,7,243,53.56,D,Pass
832,7,2,89.33,A,Pass
833,7,367,52.51,D,Pass
834,7,249,41.12,D,Pass
835,7,207,79.8,B,Pass
836,7,469,24.93,F,Fail
837,7,306,21.46,F,Fail
838,7,212,74.93,B,Pass
839,7,260,44.61,D,Pass
840,7,344,98.1,A+,Pass
841,7,64,74.96,B,Pass
842,7,31,97.48,A+,Pass
843,7,431,68.68,C,Pass
844,7,171,67.28,C,Pass
845,7,474,32.7,F,Fail
846,7,244,85.03,A,Pass
847,7,410,75.6,B,Pass
848,7,173,42.06,D,Pass
849,7,447,27.39,F,Fail
850,7,251,92.18,A+,Pass
851,7,377,32.36,F,Fail
852,7,49,88.32,A,Pass
853,7,422,29.0,F,Fail
854,7,42,96.18,A+,Pass
855,7,210,64.31,C,Pass
856,7,493,85.76,A,Pass
857,7,259,56.45,D,Pass
858,7,250,49.61,D,Pass
859,7,38,96.72,A+,Pass
860,7,216,85.49,A,Pass
861,7,125,21.86,F,Fail
862,7,494,60.41,C,Pass
863,7,178,51.86,D,Pass
864,7,321,96.62,A+,Pass
